,timestamp,temperature,relative_humidity,pressure,rainfall,wind_direction,wind_speed
0,2026-02-09T00:00:00,17.92,72,927.32,0,171,0.4
1,2026-02-09T01:00:00,17.54,75,926.64,0,164,0.3
2,2026-02-09T02:00:00,17.08,78,926.03,0,155,0.3
3,2026-02-09T03:00:00,16.54,81,925.54,0,151,0.8
4,2026-02-09T04:00:00,16.0,84,925.71,0,144,0.5
5,2026-02-09T05:00:00,15.81,89,926.37,0,105,0.4
6,2026-02-09T06:00:00,15.71,90,926.61,0,94,0.3
7,2026-02-09T07:00:00,16.71,88,927.48,0,79,0.8
8,2026-02-09T08:00:00,19.84,76,928.2,0,44,0.7
9,2026-02-09T09:00:00,22.63,64,928.7,0,85,0.3
10,2026-02-09T10:00:00,24.9,53,928.67,0,204,0.3
11,2026-02-09T11:00:00,26.57,46,928.14,0,259,0.6
12,2026-02-09T12:00:00,27.75,42,927.4,0,280,1.5
13,2026-02-09T13:00:00,28.78,38,925.97,0,264,1.7
14,2026-02-09T14:00:00,29.64,35,924.72,0,243,1.3
15,2026-02-09T15:00:00,30.29,31,923.93,0,266,0.3
16,2026-02-09T16:00:00,29.8,30,923.93,0,356,2.0
17,2026-02-09T17:00:00,24.18,58,925.09,0,266,3.1
18,2026-02-09T18:00:00,24.18,58,925.09,0,266,3.1
19,2026-02-09T19:00:00,21.27,84,926.14,0,269,2.3
20,2026-02-09T20:00:00,20.41,89,926.77,0,219,0.3
21,2026-02-09T21:00:00,19.76,91,927.54,0,287,1.0
22,2026-02-09T22:00:00,19.17,94,928.01,0,268,0.5
23,2026-02-09T23:00:00,18.94,94,927.89,0,180,0.1
24,2026-02-10T00:00:00,18.41,96,927.73,0,188,0.3
25,2026-02-10T01:00:00,17.69,97,927.03,0,157,0.4
26,2026-02-10T02:00:00,17.62,96,926.67,0,140,0.7
27,2026-02-10T03:00:00,17.26,96,926.08,0,181,0.6
28,2026-02-10T04:00:00,16.95,97,925.92,0,56,0.4
29,2026-02-10T05:00:00,16.82,99,926.11,0,150,0.2
30,2026-02-10T06:00:00,16.94,99,926.95,0,149,0.2
31,2026-02-10T07:00:00,17.54,98,927.71,0,84,0.8
32,2026-02-10T08:00:00,18.57,94,928.63,0,69,1.3
33,2026-02-10T09:00:00,21.3,79,929.13,0,35,1.2
34,2026-02-10T10:00:00,24.08,62,929.0,0,17,1.6
35,2026-02-10T11:00:00,26.22,53,928.01,0,18,1.7
36,2026-02-10T12:00:00,28.15,39,926.75,0,28,2.5
37,2026-02-10T13:00:00,29.16,33,925.67,0,30,2.9
38,2026-02-10T14:00:00,29.42,30,924.84,0,28,3.1
39,2026-02-10T15:00:00,29.29,28,924.37,0,29,3.0
40,2026-02-10T16:00:00,28.68,28,924.25,0,36,3.2
41,2026-02-10T17:00:00,27.42,31,924.66,0,42,2.7
42,2026-02-10T18:00:00,25.09,34,925.24,0,50,2.7
43,2026-02-10T19:00:00,23.9,37,926.16,0,50,2.4
44,2026-02-10T20:00:00,22.03,46,927.21,0,98,0.8
45,2026-02-10T21:00:00,20.46,52,928.21,0,145,0.8
46,2026-02-10T22:00:00,19.23,64,928.61,0,174,0.6
47,2026-02-10T23:00:00,18.05,79,928.55,0,139,0.9
48,2026-02-11T00:00:00,17.17,93,928.21,0,148,1.2
49,2026-02-11T01:00:00,16.7,97,927.8,0,130,0.7
50,2026-02-11T02:00:00,16.52,98,927.44,0,122,0.8
51,2026-02-11T03:00:00,16.05,99,927.11,0,94,0.5
52,2026-02-11T04:00:00,15.48,100,927.32,0,78,0.6
53,2026-02-11T05:00:00,14.69,100,927.88,0,59,0.4
54,2026-02-11T06:00:00,14.22,98,928.59,0,60,0.9
55,2026-02-11T07:00:00,15.14,93,929.32,0,48,1.5
56,2026-02-11T08:00:00,18.7,77,930.09,0,44,1.2
57,2026-02-11T09:00:00,22.19,59,930.32,0,53,2.1
58,2026-02-11T10:00:00,25.2,42,930.17,0,56,3.3
59,2026-02-11T11:00:00,26.92,28,929.34,0,54,5.0
60,2026-02-11T12:00:00,27.71,25,928.09,0,54,4.9
61,2026-02-11T13:00:00,28.4,22,926.81,0,55,4.4
62,2026-02-11T14:00:00,29.16,17,925.74,0,56,4.0
63,2026-02-11T15:00:00,29.14,17,925.18,0,52,3.5
64,2026-02-11T16:00:00,28.46,20,925.18,0,43,3.6
65,2026-02-11T17:00:00,26.97,24,925.52,0,37,3.2
66,2026-02-11T18:00:00,23.95,28,926.08,0,43,2.6
67,2026-02-11T19:00:00,22.35,32,926.99,0,81,2.6
68,2026-02-11T20:00:00,22.18,32,928.02,0,97,4.1
